-2181.22 -2088.27 -2175.07
-2249.13 -2159.47 -2099.46
-2241.48 -2228.13 -2067.75
-2240.67 -2227.83 -2066.68
-2221.77 -2209.60 -2053.07
-2226.65 -2214.32 -2063.75
-2250.88 -2237.42 -2075.19
-2190.49 -2097.72 -2177.78
-2175.38 -2083.65 -2177.52
-2164.44 -2072.34 -2163.60
-2170.85 -2079.31 -2166.81
-2207.91 -2246.44 -2036.63
-2170.31 -2079.13 -2173.89
-2172.45 -2081.08 -2174.77
-2175.60 -2083.70 -2177.68
-2178.04 -2086.31 -2174.12
-2189.83 -2097.75 -2172.43
-2202.90 -2247.07 -2033.25
-2208.04 -2249.96 -2036.78
-2182.41 -2097.49 -2175.02
-2220.96 -2252.73 -2049.60
-2235.05 -2220.69 -2060.03
-2208.73 -2252.76 -2036.63
-2209.36 -2250.80 -2037.33
-2214.16 -2102.22 -2048.08
-2198.49 -2237.46 -2029.23
-2212.21 -2249.36 -2039.98
-2202.80 -2245.59 -2031.85
-2204.48 -2240.96 -2035.67
-2180.32 -2088.24 -2175.52
-2258.11 -2181.69 -2079.97
-2207.98 -2246.33 -2037.32
-2255.81 -2177.19 -2076.80
-2238.63 -2163.21 -2065.71
-2242.90 -2163.64 -2061.38
-2211.65 -2249.29 -2039.80
