0	A_NA_N1
1	A_NA_N2
2	A_NA_N3
3	A_NA_N4
4	A_NA_N5
5	A_NA_N6
6	A_NA_N7
7	A_NA_N8
8	A_NA_N9
9	B_NA

1	1|S10134{A_NA_N1}
2	1|S12198{A_NA_N2}
3	1|S13537{A_NA_N2}
4	1|S14993{A_NA_N2}
5	1|S155276{B_NA}
6	1|S15543{A_NA_N2}
7	1|S155652{B_NA}
8	1|S155904{B_NA}
9	1|S156260{B_NA}
10	1|S156369{B_NA}
11	1|S157195{B_NA}
12	1|S18452{A_NA_N2}
13	1|S18956{A_NA_N2}
14	1|S19713{A_NA_N3}
15	1|S19795{A_NA_N3}
16	1|S19863{A_NA_N3}
17	1|S19973{A_NA_N3}
18	1|S20007{A_NA_N3}
19	1|S20056{A_NA_N3}
20	1|S20130{A_NA_N4}
21	2|S20147{A_NA_N4}
22	1|S20147{A_NA_N4}
23	1|S20164{A_NA_N4}
24	1|S20186{A_NA_N4}
25	1|S20190{A_NA_N4}
26	1|S20248{A_NA_N5}
27	1|S20270{A_NA_N5}
28	1|S20277{A_NA_N5}
29	1|S20310{A_NA_N5}
30	1|S20349{A_NA_N5}
31	1|S20364{A_NA_N5}
32	1|S20514{A_NA_N6}
33	1|S20789{A_NA_N6}
34	1|S21186{A_NA_N6}
35	1|S21188{A_NA_N6}
36	1|S21272{A_NA_N6}
37	1|S21325{A_NA_N6}
38	1|S21555{A_NA_N7}
39	1|S21585{A_NA_N7}
40	1|S21592{A_NA_N7}
41	1|S21640{A_NA_N7}
42	1|S21768{A_NA_N7}
43	1|S21867{A_NA_N7}
44	1|S22336{A_NA_N8}
45	1|S22340{A_NA_N8}
46	1|S22360{A_NA_N8}
47	1|S22575{A_NA_N8}
48	1|S22691{A_NA_N8}
49	1|S22723{A_NA_N8}
50	1|S23010{A_NA_N9}
51	1|S23145{A_NA_N9}
52	1|S23230{A_NA_N9}
53	1|S23232{A_NA_N9}
54	1|S23237{A_NA_N9}
55	1|S23263{A_NA_N9}
56	1|S3124{A_NA_N1}
57	1|S7495{A_NA_N1}
58	1|S8322{A_NA_N1}
59	1|S8425{A_NA_N1}
60	1|S9839{A_NA_N1}
